***Anti-Pattern*** 
Count: 2
POST 	/devices/thermostats/device_id/temperature_scale	Pluralized Nodes	 [Singular last node with POST method.] 
POST 	/devices/thermostats/device_id/target_temperature_f	Pluralized Nodes	 [Singular last node with POST method.] 

***Patterns*** 
Count: 33
GET 	/devices/thermostats/device_id/device_id	 Regular methods
GET 	/devices/thermostats/device_id/locale	 Regular methods
GET 	/devices/thermostats/device_id/software_version	 Regular methods
GET 	/devices/thermostats/device_id/structure_id	 Regular methods
GET 	/devices/thermostats/device_id/name	 Regular methods
GET 	/devices/thermostats/device_id/name_long	 Regular methods
GET 	/devices/thermostats/device_id/last_connection	 Regular methods
GET 	/devices/thermostats/device_id/is_online	 Regular methods
GET 	/devices/thermostats/device_id/can_cool	 Regular methods
GET 	/devices/thermostats/device_id/can_heat	 Regular methods
GET 	/devices/thermostats/device_id/is_using_emergency_heat	 Regular methods
GET 	/devices/thermostats/device_id/has_fan	 Regular methods
GET 	/devices/thermostats/device_id/fan_timer_active	 Regular methods
GET 	/devices/thermostats/device_id/fan_timer_timeout	 Regular methods
GET 	/devices/thermostats/device_id/has_leaf	 Regular methods
GET 	/devices/thermostats/device_id/eco_temperature_high_f	 Regular methods
GET 	/devices/thermostats/device_id/eco_temperature_high_c	 Regular methods
GET 	/devices/thermostats/device_id/hvac_state	 Regular methods
GET 	/devices/thermostats/device_id/is_locked	 Regular methods
GET 	/devices/thermostats/device_id/sunlight_correction_enabled	 Regular methods
GET 	/devices/thermostats/device_id/where_name	 Regular methods
GET 	/devices/thermostats/device_id/time_to_target_training	 Regular methods
GET 	/devices/smoke_co_alarms/device_id/name	 Regular methods
GET 	/devices/smoke_co_alarms/device_id/ui_color_state	 Regular methods
GET 	/devices/smoke_co_alarms/device_id/where_name	 Regular methods
GET 	/devices/cameras/device_id/where_id	 Regular methods
GET 	/devices/cameras/device_id/where_name	 Regular methods
GET 	/devices/cameras/device_id/is_public_share_enabled	 Regular methods
GET 	/devices/cameras/device_id/activity_zones	 Regular methods
GET 	/devices/cameras/device_id/snapshot_url	 Regular methods
GET 	devices/cameras/device_id/last_event	 Regular methods
GET 	/devices/cameras/device_id/last_event/has_sound	 Regular methods
GET 	/devices/cameras/device_id/last_event/web_url	 Regular methods
