ID,API-Type,API-Name,HTTP Method,URI,Decription,Parameters,AmorphousURI,TidyURI,Comment,NonStandardURI,StandarURI,Comment,CRUDyURI,VerblessURI,Comment,UnversionedURI,VersionedURI,Comment,PluralisedNodes,SingularNodes,Comment,NonDescriptiveURI,DescriptiveURI,Comment,ContextlessResource,ContextualResouce,Comment,NonHierarchicalNodes,HierarchicalNodes,Comment,LessCohisiveDoc,CohisiveDoc,Comment,InconsistantDoc,ConsistantDoc,Comment
1,GraphQL,AniList,POST,/v2/oauth/token,Converting Authorization Codes To Access Tokensn/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,0,1,Consistent Documentation
2,GraphQL,AniList,POST,/v2/oauth/pin,If you are absolutely unable to have a Http or application URI scheme redirection you can use the Auth Pin redirect URL.n/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,0,1,Consistent Documentation
3,GraphQL,AniList,POST,v2/SaveMediaListEntry,Create or update a media list entryn/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
4,GraphQL,AniList,POST,v2/UpdateMediaListEntries,Update multiple media list entries to the same valuesn/a,0,1,,0,1,,1,0,[update found],0,1,Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
5,GraphQL,AniList,POST,v2/DeleteMediaListEntry,Delete a media list entryn/a,0,1,,0,1,,1,0,[delete found],0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
6,GraphQL,AniList,POST,v2/DeleteCustomList,Delete a custom list and remove the list entries from itn/a,0,1,,0,1,,1,0,[delete found],0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
7,GraphQL,AniList,POST,v2/SaveTextActivity,Create or update text activity for the currently authenticated usern/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
8,GraphQL,AniList,POST,v2/SaveListActivity,Update list activityn/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,1,0,Reversed hierarchy of type True detected between save and list. 0 hierarchical relations were detected out of 2,1,0,Inconsistent Documentation
9,GraphQL,AniList,POST,v2/DeleteActivity,Delete an activity item of the authenticated usersn/a,0,1,,0,1,,1,0,[delete found],0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,1,0,Inconsistent Documentation
10,GraphQL,AniList,POST,v2/ToggleActivityPin,Toggle activity to be pinned to the top of the user's activity feedn/a,0,1,,0,1,,0,1,,0,1,Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,,0,1,Consistent Documentation
